1000 1 4.01
2000 1 6.75
3000 1 3.65
4000 1 3.26
5000 1 3.72
6000 1 3.26
7000 1 3.26
8000 1 2.69
9000 1 2.66
10000 1 2.5
11000 1 2.0
12000 1 1.7
13000 1 1.5
14000 1 1.5

1000 2 7.56
2000 2 2.34
3000 2 1.27
4000 2 5.38
5000 2 3.93
6000 2 3.44
7000 2 0.85
8000 2 0.85
9000 2 0.81
10000 2 0.81
11000 2 0.75
12000 2 0.7
13000 2 0.5
14000 2 0.1

1000 3 6.87
2000 3 4.05
3000 3 4.80
4000 3 1.31
5000 3 0.88
6000 3 1.55
7000 3 2.84
8000 3 2.84
9000 3 2.22
10000 3 2.22
11000 3 1.75
12000 3 1.7
13000 3 0.3
14000 3 0.1

1000 4 5.95
2000 4 4.67
3000 4 1.70
4000 4 5.94
5000 4 3.72
6000 4 0.39
7000 4 0.41
8000 4 0.41
9000 4 0.65
10000 4 0.65
11000 4 0.6
12000 4 0.5
13000 4 0.4
14000 4 0.1

1000 5 7.82
2000 5 7.42
3000 5 2.45
4000 5 3.99
5000 5 0.93
6000 5 0.71
7000 5 0.50
8000 5 0.7
9000 5 0.47
10000 5 0.47
11000 5 0.4
12000 5 0.4
13000 5 0.3
14000 5 0.1

1000 6 3.40
2000 6 5.18
3000 6 2.63
4000 6 0.66
5000 6 3.57
6000 6 1.75
7000 6 0.44
8000 6 0.44
9000 6 0.66
10000 6 0.66
11000 6 0.5
12000 6 0.4
13000 6 0.2
14000 6 0.1

1000 7 5.05
2000 7 5.05
3000 7 3.59
4000 7 1.26
5000 7 0.47
6000 7 0.35
7000 7 1.05
8000 7 1.05
9000 7 0.35
10000 7 0.35
11000 7 0.35
12000 7 0.2
13000 7 0.2
14000 7 0.1

1000 8 3.49
2000 8 7.31
3000 8 0.65
4000 8 2.29
5000 8 0.43
6000 8 0.39
7000 8 0.35
8000 8 0.90
9000 8 0.29
10000 8 0.43
11000 8 0.4
12000 8 0.3
13000 8 0.2
14000 8 0.1

1000 9 3.10
2000 9 2.85
3000 9 1.78
4000 9 0.72
5000 9 1.98
6000 9 1.98
7000 9 1.89
8000 9 1.89
9000 9 0.38
10000 9 0.38
11000 9 0.3
12000 9 0.2
13000 9 0.1
14000 9 0.1

1000 10 4.61
2000 10 4.59
3000 10 0.61
4000 10 2.47
5000 10 1.29
6000 10 1.29
7000 10 0.44
8000 10 0.44
9000 10 0.37
10000 10 0.37
11000 10 0.3
12000 10 0.3
13000 10 0.2
14000 10 0.1

1000 11 4.27
2000 11 1.12
3000 11 1.63
4000 11 0.59
5000 11 0.39
6000 11 0.39
7000 11 0.39
8000 11 0.39
9000 11 0.48
10000 11 0.48
11000 11 0.3
12000 11 0.3
13000 11 0.2
14000 11 0.1

1000 12 8.11
2000 12 5.37
3000 12 1.74
4000 12 5.00
5000 12 0.45
6000 12 0.45
7000 12 0.45
8000 12 0.45
9000 12 0.35
10000 12 0.35
11000 12 0.3
12000 12 0.3
13000 12 0.2
14000 12 0.1

1000 13 2.57
2000 13 0.83
3000 13 1.85
4000 13 0.49
5000 13 0.35
6000 13 0.35
7000 13 0.35
8000 13 0.35
9000 13 0.32
10000 13 0.32
11000 13 0.3
12000 13 0.3
13000 13 0.2
14000 13 0.1

1000 14 3.06
2000 14 5.54
3000 14 0.58
4000 14 1.68
5000 14 2.19
6000 14 2.19
7000 14 0.50
8000 14 0.50
9000 14 0.37
10000 14 0.37
11000 14 0.3
12000 14 0.3
13000 14 0.2
14000 14 0.1

1000 15 3.40
2000 15 0.87
3000 15 3.63
4000 15 2.19
5000 15 0.87
6000 15 0.40
7000 15 0.47
8000 15 0.38
9000 15 0.35
10000 15 0.37
11000 15 0.3
12000 15 0.3
13000 15 0.2
14000 15 0.1
