1000 4.01 3.59 3.49 4.89 2.66 1.61
2000 6.75 4.51 7.31 7.13 0.87 1.02
3000 3.65 3.39 0.65 0.35 3.63 5.79 
4000 4.55 3.96 2.29 4.56 2.19 4.72
5000 3.72 1.97 0.43 0.28 0.87 1.27
6000 3.26 1.92 0.39 0.22 0.40 0.20
7000 3.25 2.17 0.35 0.19 0.47 0.22
8000 2.69 1.98 0.90 1.10 0.38 0.24
9000 2.66 1.61 0.29 0.18 0.35 0.19
10000 2.65 1.58 0.43 0.21 0.37 0.17
