4 	135.7	7 130
5 	104.4	6 100
6 	84.3	6 80
7 	79.7	5 79
8 	75.2	5 75
9 	73.2	5 73
10 	72.1	5 72
11	78.7	4 78
12 	89.1	4 88
13	89.0	4 88
14	89.0	4 88
15 	89.0	4 89
16 	104.2	3 104
17 	104.1	3 104
18 	104.1	3 104
19 	104.1	3 104
20 	104.1	3 104
21 	134.5	2 134
22 	134.5	2 134
23 	134.5	2 134
24 	134.5	2 134
25 	134.5	2 134
26 	134.5	2 134
27 	157.2	2 155
28 	157.2	2 155
29 	157.2	2 155
30 	157.2	2 155
31 	157.2	2 155
32 	157.2	2 155
33 	157.2	2 155
34 	157.2	2 155
35 	157.2	2 155
36 	271		1 265
37 	271		1 265
38 	271		1 265
39 	271		1 265
40 	271		1 265
41 	271		1 265
42 	271		1 265
43 	271		1 265
44 	271		1 265
45 	271		1 265
46 	271		1 265
47 	271		1 265
48 	271		1 265
49 	271		1 265
50 	271		1 265
53	227.5	1 225
